# Unchecked-arithmetic manifest — the reviewed registry behind scripts/check-unchecked.sh.
#
# One row per `unchecked { ... }` block in the game facade, its storage base and the modules
# (scripts/lib/unchecked_extract.py). The rationale records the invariant that keeps every op
# in range; the gate keeps the registry in exact correspondence with source.
#
# Classes: BOUNDED (a guard / cap / width argument, named) · NO-OVERFLOW-OP (nothing in the block
# can leave the range) · WRAP-INTENDED (modular arithmetic on purpose) · SCALE-BOUNDED (no code
# guard: the only bound is the ETH that must be paid to reach the width — the owed lanes and the
# pass lanes, a documented design choice at DegenerusGame.sol ~:2406-2408; recorded, not hidden).
#
# Columns: CLASS  file  function  ordinal  head  rationale
CLASS	file	function	ordinal	head	rationale
WRAP-INTENDED	modules/DegenerusGameMintModule.sol	_raritySymbolBatch	2	s = s * (TICKET_LCG_MULT + uint64(offset)) + uint64(offset)	LCG seed mix on uint64 s; modular truncation is the intended PRNG step and every reader only takes low-bit slices of s for trait selection, so wrap carries no value meaning.
WRAP-INTENDED	modules/DegenerusGameMintModule.sol	_raritySymbolBatch	3	s = s * TICKET_LCG_MULT + 1	LCG s = s*MULT+1 wraps by design (uint64 PRNG); co-resident ops width-bounded: traitFromWord <= 63 plus (i&3)<<6 <= 192 fits uint8; counts[]++ <= count; touchedLen <= 256.
NO-OVERFLOW-OP	modules/DegenerusGameMintModule.sol	_raritySymbolBatch	4	++u	Loop counter u under u < touchedLen with touchedLen <= 256 (one bump per first-seen traitId, traitId is uint8).
NO-OVERFLOW-OP	modules/DegenerusGameMintModule.sol	processTicketBatch	1	++t	uint24 window counter t bounded by windowEnd = anchor+4 with levels far below 2^23 (comment at :634); ++t only inside t <= windowEnd.
BOUNDED	modules/DegenerusGameMintModule.sol	processTicketBatch	2	used += writesUsed	Same envelope as processFutureTicketBatch: _processOneTicketEntry caps take by remaining - used (:857-860), so writesUsed <= room+1 and used <= WRITES_BUDGET_SAFE+1 in uint32.
NO-OVERFLOW-OP	modules/DegenerusGameMintModule.sol	processTicketBatch	3	++t	uint24 window counter t bounded by windowEnd = anchor+4 with levels far below 2^23; ++t runs only after the loop test t <= windowEnd.
BOUNDED	modules/DegenerusGameMintModule.sol	_processOneTicketEntry	1	remainingOwed = owed - take	take = min(owed, maxT) at :859 and is only masked down at :863, so take <= owed and the subtraction stays non-negative.
NO-OVERFLOW-OP	modules/DegenerusGameMintModule.sol	sellFarFutureEntries	1	++i	Loop counter i under i < len with len <= 32 enforced at :1133.
BOUNDED	modules/DegenerusGameMintModule.sol	_purchaseForWithCached	1	remainingEth -= lootBoxAmount	Guarded by `if (remainingEth >= lootBoxAmount)` at :1494; the -= runs only on that branch.
BOUNDED	modules/DegenerusGameMintModule.sol	_buyPresaleBoxFor	1	presaleBoxCredit[buyer] -= applied	Guarded by `if (applied > presaleBoxCredit[buyer]) revert E();` at :1831, so applied <= the stored credit.
NO-OVERFLOW-OP	modules/DegenerusGameWhaleModule.sol	purchaseWhalePass	1	++i	i < quantity and quantity is capped at 100 by the guard at :226.
BOUNDED	modules/DegenerusGameWhaleModule.sol	purchaseLazyPass	1	nextShare = totalPrice - futureShare	futureShare = totalPrice * LAZY_PASS_TO_FUTURE_BPS(1000) / 10_000 <= totalPrice by construction, so the subtraction cannot underflow.
NO-OVERFLOW-OP	modules/DegenerusGameWhaleModule.sol	_lazyPassCost	1	++i	i < LAZY_PASS_LEVELS = 10 (:142), a compile-time constant loop bound.
BOUNDED	modules/GameAfkingModule.sol	processSubscriberStage	1	++_pendingBoxCount	uint16 _pendingBoxCount (storage :3064); at most one pending box per subscriber (no-orphan skip at :1367 blocks a re-stamp), subscriber set capped at 2005 (:765).
NO-OVERFLOW-OP	modules/GameAfkingModule.sol	processSubscriberStage	2	++cursor	cursor < len <= _subscribers.length <= SUBSCRIBER_CAP 2005 (:765); processed and weight accumulate at most 2005 constant-size increments per call.
BOUNDED	modules/GameAfkingModule.sol	processSubscriberStage	3	--len	len mirrors _subscribers.length and the loop test cursor < len makes len >= 1 at this point; _removeFromSet always pops (the player came from _subscribers[cursor]), so the mirror stays in lockstep.
NO-OVERFLOW-OP	modules/GameAfkingModule.sol	processSubscriberStage	4	++processed	processed and weight take at most one constant increment per iteration and the loop runs at most len <= 2005 times, far below 2^256.
NO-OVERFLOW-OP	modules/GameAfkingModule.sol	processSubscriberStage	5	++cursor	cursor < len <= SUBSCRIBER_CAP 2005 (:765); processed and weight take one constant increment per iteration.
NO-OVERFLOW-OP	modules/GameAfkingModule.sol	processSubscriberStage	6	++cursor	cursor < len <= SUBSCRIBER_CAP 2005 (:765); processed and weight take one constant increment per iteration.
BOUNDED	modules/GameAfkingModule.sol	processSubscriberStage	7	--len	len mirrors _subscribers.length and cursor < len holds at the loop test, so len >= 1; the paired _removeFromSet pop always succeeds for an in-set player.
NO-OVERFLOW-OP	modules/GameAfkingModule.sol	processSubscriberStage	8	++processed	processed and weight take at most one constant increment per iteration over at most 2005 iterations.
NO-OVERFLOW-OP	modules/GameAfkingModule.sol	processSubscriberStage	9	++boxStamps	boxStamps counts non-ticket deliveries this chunk, at most one per iteration and the loop runs at most len <= 2005 times.
NO-OVERFLOW-OP	modules/GameAfkingModule.sol	processSubscriberStage	10	++cursor	cursor < len <= SUBSCRIBER_CAP 2005 (:765); processed and weight take one constant increment per iteration.
BOUNDED	modules/GameAfkingModule.sol	processSubscriberStage	11	_pendingBoxCount += uint16(boxStamps)	boxStamps <= 2005 per chunk and the uint16 counter (:3064) tracks pending boxes one-per-subscriber (no-orphan skip at :1367 blocks a re-stamp), so the total stays <= SUBSCRIBER_CAP 2005 < 2^16.
BOUNDED	modules/GameAfkingModule.sol	_openAfkingBox	1	--_pendingBoxCount	Paired with the sole stamp increments (:1328, :1532): a box is opened only under lastOpenedDay < lastAutoBoughtDay (gate at :1704 and the marker advance at :1618), so the counter is >= 1 at every decrement.
NO-OVERFLOW-OP	modules/GameAfkingModule.sol	_autoOpen	1	++cursor	cursor is reset to 0 whenever cursor >= len at the loop head (:1701); scanned < len <= 2005 bounds the iteration count, and unitsUsed < budgetUnits bounds the accumulator.
NO-OVERFLOW-OP	modules/GameAfkingModule.sol	_autoOpen	2	++cursor	cursor is reset to 0 whenever cursor >= len at the loop head (:1701); scanned < len <= 2005 bounds the iteration count, and unitsUsed < budgetUnits bounds the accumulator.
NO-OVERFLOW-OP	modules/GameAfkingModule.sol	_autoOpen	3	++opened	opened, cursor and scanned take one increment per iteration under scanned < len <= 2005; unitsUsed += OPEN_ITEM_WEIGHT runs at most OPEN_BATCH times since the loop tests unitsUsed < budgetUnits.
BOUNDED	modules/GameAfkingModule.sol	_crapsUnitBudget	1	if (spentUnits >= OPEN_WEIGHT_BUDGET) return 0	Both subtractions pre-guarded: spentUnits >= OPEN_WEIGHT_BUDGET returns 0 at :2023, allowance <= CRAPS_ROUTER_TAIL_UNITS returns 0 at :2025; allowance <= OPEN_WEIGHT_BUDGET so uint64 cast is exact.
NO-OVERFLOW-OP	modules/GameAfkingModule.sol	claimAfkingFlip	1	++i	Loop counter i under i < len = subs.length (calldata array length, bounded by calldata size).
BOUNDED	storage/DegenerusGameStorage.sol	_advanceDue	1	++t	`t` runs to end = purchaseLevel + 4 = level + 5 (:803-805); `level` is uint24 and advances one per game level, so end is nowhere near 2^24-1 where ++t would wrap the loop.
SCALE-BOUNDED	storage/DegenerusGameStorage.sol	_queueEntries	1	owed += entries	economic scale only (caps deliberately removed, DegenerusGame.sol ~:2406-2408): owed is the uint32 lane of entriesOwedPacked (uint48, :590); entries is an uncapped uint32 argument and nothing bounds cumulative owed below 2^32 (paid-wei scale only).
SCALE-BOUNDED	storage/DegenerusGameStorage.sol	_queueEntriesScaled	1	owed += whole	economic scale only (caps deliberately removed, DegenerusGame.sol ~:2406-2408): whole = entriesScaled/QTY_SCALE (<= 42.9M per call) added into the uncapped uint32 owed lane (:919); nothing bounds cumulative owed below 2^32.
NO-OVERFLOW-OP	storage/DegenerusGameStorage.sol	_queueEntriesScaled	2	newRem = uint16(rem) + uint16(frac)	`rem` is uint8 (<= 255) and `frac = entriesScaled % QTY_SCALE` < 100 (QTY_SCALE = 100 at Storage:190); both widen into uint16, sum < 355.
SCALE-BOUNDED	storage/DegenerusGameStorage.sol	_queueEntriesScaled	3	owed += 1	economic scale only (caps deliberately removed, DegenerusGame.sol ~:2406-2408): shares the :922 gap; owed += 1 wraps iff the uncapped uint32 owed lane already sits at 2^32-1 after the whole-part add. Bounded only by paid-wei scale.
SCALE-BOUNDED	storage/DegenerusGameStorage.sol	_queueEntryRangeStridedCore	1	owed += entriesPerLevel	economic scale only (caps deliberately removed, DegenerusGame.sol ~:2406-2408): entriesPerLevel is an uncapped uint32 parameter accumulated per level into the uint32 owed lane; no guard bounds cumulative owed below 2^32.
BOUNDED	storage/DegenerusGameStorage.sol	_queueEntryRangeStridedCore	2	lvl += stride	`lvl` is uint24 starting near `level`, advanced numLevels times by stride; callers pass numLevels <= 100, stride <= 4 (Storage:1060-1070, :1889; Whale:362,:790), so lvl stays far below 2^24.
NO-OVERFLOW-OP	storage/DegenerusGameStorage.sol	_boxOrderCount	1	return ((word >> LB_SMALL_SHIFT) & LB_COUNT_MASK) + ((word >> LB_MED_SHIFT) & LB_COUNT_MAS	Four 8-bit masked fields (LB_COUNT_MASK = 0xFF, Storage:1455) plus 0-or-1, summed in uint256; maximum 1021.
